fiscal_year,category,value_usd_mn
2021,Americas,153306.0
2021,Europe,89307.0
2021,Greater China,68366.0
2021,Japan,28482.0
2021,Rest of Asia Pacific,26356.0
2021,Total net sales,365817.0
2022,Americas,169658.0
2022,Europe,95118.0
2022,Greater China,74200.0
2022,Japan,25977.0
2022,Rest of Asia Pacific,29375.0
2022,Total net sales,394328.0
2023,Americas,162560.0
2023,Europe,94294.0
2023,Greater China,72559.0
2023,Japan,24257.0
2023,Rest of Asia Pacific,29615.0
2023,Total net sales,383285.0
2024,Americas,167045.0
2024,Europe,101328.0
2024,Greater China,66952.0
2024,Japan,25052.0
2024,Rest of Asia Pacific,30658.0
2024,Total net sales,391035.0
2025,Americas,178353.0
2025,Europe,111032.0
2025,Greater China,64377.0
2025,Japan,28703.0
2025,Rest of Asia Pacific,33696.0
2025,Total net sales,416161.0
